0.2	-3.0	0.59469
2.7	2.2	1.19975
0.7	3.0	-1.88314
2.6	1.4	2.00367
3.9	2.9	3.25605
0.5	1.8	-0.77106
2.0	2.9	-2.06108
3.1	1.8	2.76612
0.3	-0.3	0.00000
3.8	0.7	2.48540
0.6	2.9	-1.59715
3.8	2.2	4.16266
2.4	-0.3	-0.69785
1.0	0.7	0.23960
2.4	1.0	1.68994
2.5	-0.5	-1.15385
4.0	1.2	4.00734
2.3	0.1	0.22913
3.8	-0.2	-0.75580
1.4	1.0	0.45405
2.5	2.1	0.90619
2.3	2.8	-1.25072
1.7	-0.7	-0.84497
2.5	0.3	0.72871
1.8	-1.0	-0.95094
1.8	1.1	0.90324
0.2	-1.3	0.24798
1.0	0.0	0.00000
2.6	-1.9	-1.50058
1.0	-1.1	0.10452
0.3	0.1	0.02400
3.2	2.8	1.18938
3.8	2.4	3.91889
0.5	0.1	0.04615
2.5	1.6	1.67537
2.3	-2.8	1.25072
0.9	1.9	-1.08326
3.2	-1.1	-2.77603
0.4	1.3	-0.43005
2.6	2.5	0.25480
1.5	-2.0	0.84000
2.4	0.7	1.41658
3.6	1.9	3.85963
3.9	2.4	4.21803
3.8	1.0	3.30777
3.6	1.4	3.71582
0.5	2.7	-1.26048
2.5	-1.7	-1.56236
3.2	0.1	0.31938
1.9	-0.7	-1.01210
3.0	-2.3	-1.79139
2.0	-1.4	-0.95839
2.9	-3.0	0.29483
0.3	1.9	-0.54227
2.8	2.7	0.27482
2.6	1.5	1.95216
2.0	1.5	0.84000
3.6	-1.7	-3.88823
0.3	-1.7	0.47919
1.3	0.9	0.41184
2.9	-2.4	-1.30162
4.0	-2.4	-4.51765
1.1	1.0	0.10452
3.3	1.7	3.25689
1.0	-0.1	-0.09802
3.5	-0.8	-2.52196
3.2	2.4	2.15040
2.7	-0.9	-1.94400
0.8	-0.3	-0.18082
3.7	2.9	2.56355
0.5	2.4	-1.10017
1.6	-1.0	-0.70112
3.5	0.8	2.52196
3.4	-1.9	-3.38543
1.0	-1.5	0.57692
0.8	0.5	0.17528
0.7	-1.6	0.76013
3.8	-0.1	-0.37947
1.9	-2.7	1.73196
2.7	-1.2	-2.17113
0.3	-2.8	0.82093
1.4	-1.7	0.45637
2.1	-2.1	0.00000
1.4	1.3	0.13463
1.7	2.2	-0.94347
1.6	-2.0	0.70244
1.8	1.6	0.33766
0.4	-2.7	1.03361
0.2	-1.6	0.31015
1.7	0.7	0.84497
1.5	2.0	-0.84000
3.4	0.4	1.32287
3.6	1.3	3.60025
3.6	-2.3	-3.47987
3.3	2.1	2.93506
2.4	-1.6	-1.47692
3.9	0.0	0.00000
1.7	2.9	-2.40828
2.1	-2.5	0.90619
4.0	3.0	3.36000
